MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
livedoor_7496646_001,汚職事件,お食事券,注意が必要,汚職事件を「お食事券」と聞き間違え、良いものだと思っていた。,True,livedoor_7496646,https://news.livedoor.com/article/detail/7496646/,日本語,"['職場', '聞き間違い', '言い間違い', 'コミュニケーション', '社会人', '新入社員']","['オフィス', '会議']"
livedoor_7496646_002,インライン,淫乱,注意が必要,「インライン」を「淫乱」と聞き間違えた。,True,livedoor_7496646,https://news.livedoor.com/article/detail/7496646/,日本語,"['職場', '聞き間違い', '言い間違い', 'コミュニケーション', '社会人', '新入社員']","['オフィス', '会議']"
livedoor_7496646_003,売り上げは？,お土産は？,注意が必要,「売り上げは？」を「お土産は？」と聞き間違え、旅行のお土産かと思った。,True,livedoor_7496646,https://news.livedoor.com/article/detail/7496646/,日本語,"['職場', '聞き間違い', '言い間違い', 'コミュニケーション', '社会人', '新入社員']","['オフィス', '会議']"
livedoor_7496646_004,ナガタリエ,永谷園,注意が必要,「ナガタリエ」さんを「永谷園」と聞き間違えた。,True,livedoor_7496646,https://news.livedoor.com/article/detail/7496646/,日本語,"['職場', '聞き間違い', '言い間違い', 'コミュニケーション', '社会人', '新入社員']","['オフィス', '会議']"
livedoor_7496646_005,英語にして持ってきて,A5,注意が必要,「英語にして」を「A5」と聞き間違え、A5でコピーを取ってしまった。,True,livedoor_7496646,https://news.livedoor.com/article/detail/7496646/,日本語,"['職場', '聞き間違い', '言い間違い', 'コミュニケーション', '社会人', '新入社員']","['オフィス', '会議']"
livedoor_7496646_006,オーソドックス,おソースとって,注意が必要,「オーソドックス」が「おソースとって」に聞こえた。,True,livedoor_7496646,https://news.livedoor.com/article/detail/7496646/,日本語,"['職場', '聞き間違い', '言い間違い', 'コミュニケーション', '社会人', '新入社員']","['オフィス', '会議']"
livedoor_7496646_007,KY（危険予知）,空気読めない,注意が必要,工場で「KY」は「危険予知」だが「空気読めない」と思っていた。,True,livedoor_7496646,https://news.livedoor.com/article/detail/7496646/,日本語,"['職場', '聞き間違い', '言い間違い', 'コミュニケーション', '社会人', '新入社員']","['工場', '会議']"
livedoor_7496646_008,支柱,シチュー,注意が必要,「支柱」を「シチュー」と聞き間違えた。,True,livedoor_7496646,https://news.livedoor.com/article/detail/7496646/,日本語,"['職場', '聞き間違い', '言い間違い', 'コミュニケーション', '社会人', '新入社員']","['オフィス', '会議']"
livedoor_7496646_009,部長付き,部長好き,注意が必要,「部長付き」を「部長好き」と思っていた。,True,livedoor_7496646,https://news.livedoor.com/article/detail/7496646/,日本語,"['職場', '聞き間違い', '言い間違い', 'コミュニケーション', '社会人', '新入社員']","['オフィス', '会議']"
livedoor_7496646_010,産休,サンキュー,注意が必要,「産休」を「サンキュー」と勘違いした。,True,livedoor_7496646,https://news.livedoor.com/article/detail/7496646/,日本語,"['職場', '聞き間違い', '言い間違い', 'コミュニケーション', '社会人', '新入社員']","['オフィス', '会議']"
livedoor_7496646_011,特休,特急,注意が必要,「特休」を「特急」と勘違いし、出張かと思った。,True,livedoor_7496646,https://news.livedoor.com/article/detail/7496646/,日本語,"['職場', '聞き間違い', '言い間違い', 'コミュニケーション', '社会人', '新入社員']","['オフィス', '会議']"
livedoor_7496646_012,おう（返事）,YES,注意が必要,「おう」と返事されたのを「YES」と誤解したが、実際はNOだった。,True,livedoor_7496646,https://news.livedoor.com/article/detail/7496646/,日本語,"['職場', '聞き間違い', '言い間違い', 'コミュニケーション', '社会人', '新入社員']","['オフィス', '会議']"
