MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
coffee_break_parts_similar201506_001,支援に対して、イン・カインド（in kind）で返す、つまり同種のもので返礼すると～,支援に対して、委員会等で返す、つまり同種のもので返礼すると～,専門用語「イン・カインド」は聞き慣れないため注意,支援の返礼方法を説明する場面で、専門用語が「委員会等」と誤記された。発音の類似性が原因。,True,coffee_break_parts_similar201506,,不明,速記者,ja
coffee_break_parts_similar201506_002,講演なのに雑談風なお話になってしまいましたが、何とぞご寛恕願いたいと思います～,講演なのに雑談風なお話になってしまいましたが、何とぞお勘定願いたいと思います～,「ご寛恕」は謝罪や寛大な心を求める語,講演の締めで謝罪の意を述べる場面。「ご寛恕」が「お勘定」と誤記。音が似ているため。,True,coffee_break_parts_similar201506,,不明,速記者,ja
coffee_break_parts_similar201506_003,連邦、州、市町村といった自治体のレベルで違ってくると～,連邦、州、市町村といった実態のレベルで違ってくると～,行政用語「自治体」は注意,行政区分の違いを説明する場面で「自治体」が「実態」と誤記。発音の類似性が原因。,True,coffee_break_parts_similar201506,,不明,速記者,ja
coffee_break_parts_similar201506_004,地方法人課税の偏在是正は喫緊の課題であり～,地方法人課税の県内情勢は喫緊の課題であり～,「偏在是正」は税制用語で注意,地方法人課税の課題説明中、「偏在是正」が「県内情勢」と誤記。専門用語の聞き取りミス。,True,coffee_break_parts_similar201506,,不明,速記者,ja
coffee_break_parts_similar201506_005,顧客アンケートが先般実施をされまして～,顧客アンケートが先般実証されまして～,「実施」と「実証」は意味が異なるので注意,アンケートの実施報告中、「実施を」が「実証」と誤記。語尾の類似性が原因。,True,coffee_break_parts_similar201506,,不明,速記者,ja
coffee_break_parts_similar201506_006,近々、ウイングコンテナの中に設置する～,近々、運輸コンテナの中に設置する～,「ウイング」と「運輸」は音が似ている,コンテナの種類説明中、「ウイング」が「運輸」と誤記。業界用語の聞き取りミス。,True,coffee_break_parts_similar201506,,不明,速記者,ja
coffee_break_parts_similar201506_007,そこに我々の担当のチームが気づいていないというのが問題であり～,そこに我々の担当の地位が築いていないというのが問題であり～,「チームが気づいていない」と「地位が築いていない」は意味が大きく異なる,担当者の問題点説明中、「チームが気づいていない」が「地位が築いていない」と誤記。語感の類似性が原因。,True,coffee_break_parts_similar201506,,不明,速記者,ja
coffee_break_parts_similar201506_008,主なところとしては，そのようなことも附帯決議がなされて～,主なところとしては，そのようなことも具体的にはなされて～,「附帯決議が」と「具体的には」は文脈で区別,議会の決議事項説明中、「附帯決議が」が「具体的には」と誤記。文脈の取り違え。,True,coffee_break_parts_similar201506,,不明,速記者,ja
coffee_break_parts_similar201506_009,地域では給与は民間給与の反映ということだったのですが～,地域では給与は民間企業の反映ということだったのですが～,「給与」と「企業」は音が似ている,民間給与の反映について説明中、「給与」が「企業」と誤記。語感の類似性が原因。,True,coffee_break_parts_similar201506,,不明,速記者,ja
coffee_break_parts_similar201506_010,島嶼防衛などのときに武力攻撃に至らない前の～,当初、防衛などのときに武力攻撃に至らない前の～,「島嶼」と「当初」は発音が似ている,防衛に関する説明中、「島嶼」が「当初、」と誤記。専門用語の聞き取りミス。,True,coffee_break_parts_similar201506,,不明,速記者,ja
