MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
coffee_break_parts_similar201704_001,皮膚感作のみならず、呼吸器感作についても情報交換を～,皮膚感作のみならず、国益監査についても情報交換を～,医療用語と行政用語の音が似ている場合は注意,医療・行政分野の会議で、専門用語「呼吸器感作」を「国益監査」と誤記。速記者による聞き間違い。,True,coffee_break_parts_similar201704,,不明,速記者,ja
coffee_break_parts_similar201704_002,脳機能イメージングというのは金額もかかってしまう～,納期のイメージングというのは金額もかかってしまう～,専門用語の前後文脈を意識する,医療技術の説明で「脳機能イメージング」を「納期のイメージング」と誤記。速記者による聞き間違い。,True,coffee_break_parts_similar201704,,不明,速記者,ja
coffee_break_parts_similar201704_003,他国のシェアを奪う、近隣窮乏化のアプローチでは～,他国のシェアを奪う、近隣糾合化のアプローチでは～,経済用語の正確な把握が必要,経済政策の説明で「窮乏化」を「糾合化」と誤記。速記者による聞き間違い。,True,coffee_break_parts_similar201704,,不明,速記者,ja
coffee_break_parts_similar201704_004,消衰係数と反射率のみならず、膜厚のデータも～,消衰係数と反射率のみならず、爆発のデータも～,技術用語の発音に注意,科学技術データの説明で「膜厚」を「爆発」と誤記。速記者による聞き間違い。,True,coffee_break_parts_similar201704,,不明,速記者,ja
coffee_break_parts_similar201704_005,地方の税制については、一企業の意向によって小さな町が～,地方の税制については、地域業務の移行によって小さな町が～,文脈から意味を再確認,地方税制の説明で「一企業の意向」を「地域業務の移行」と誤記。速記者による聞き間違い。,True,coffee_break_parts_similar201704,,不明,速記者,ja
coffee_break_parts_similar201704_006,こちらが摘出された組織の切片の写真ですが～,こちらが摘出された組織のてっぺんの写真ですが～,医療用語の聞き取りに注意,医療画像の説明で「切片」を「てっぺん」と誤記。速記者による聞き間違い。,True,coffee_break_parts_similar201704,,不明,速記者,ja
coffee_break_parts_similar201704_007,本件につきましては今後も注視をしていきたいと～,本件につきましては今後も抽象していきたいと～,行政用語の正確な聞き取り,行政対応の説明で「注視を」を「抽象」と誤記。速記者による聞き間違い。,True,coffee_break_parts_similar201704,,不明,速記者,ja
coffee_break_parts_similar201704_008,統計資料ですが、人数の部分に訂正がございます～,統計資料ですが、ニーズの部分に訂正がございます～,数字や名詞の聞き間違いに注意,統計資料の説明で「人数」を「ニーズ」と誤記。速記者による聞き間違い。,True,coffee_break_parts_similar201704,,不明,速記者,ja
coffee_break_parts_similar201704_009,部内での議論でも異論なども出てきまして～,部内での議論でもいろんなのも出てきまして～,似た音の言葉の区別に注意,会議での議論の場面で「異論なども」を「いろんなのも」と誤記。速記者による聞き間違い。,True,coffee_break_parts_similar201704,,不明,速記者,ja
coffee_break_parts_similar201704_010,今、総会のごあいさつの中で～,今、紹介のごあいさつの中で～,会合名の聞き取りに注意,会合の挨拶の場面で「総会」を「紹介」と誤記。速記者による聞き間違い。,True,coffee_break_parts_similar201704,,不明,速記者,ja
