MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
coffee_break_parts_similar200502_001,耐震補強をしたり、一部建てかえた人が多く、この街区の安全性、性能は上がっているはずです。,耐震補強をしたり、一部建てかえた人が多く、この街区の安全性というのは上がっているはずです。,「性能は」と「というのは」の音が似ているため注意。,会議や説明会での発言を速記者が記録。複数名の発言が続く中で、語尾の聞き取りが曖昧になりやすい環境。,True,coffee_break_parts_similar200502,N/A,不明,速記者,日本語,"['行政', '建築']",['文字起こし']
coffee_break_parts_similar200502_002,土地売却のために周辺との境界の画定とか、条件を整理して～～,土地売却のために周辺との境界の確定とか、条件を整理して～～,「画定」と「確定」は発音が近いので注意。,不動産や行政手続きに関する会話。専門用語の聞き間違いが発生しやすい。,True,coffee_break_parts_similar200502,N/A,不明,速記者,日本語,"['行政', '不動産']",['文字起こし']
coffee_break_parts_similar200502_003,海外の日本人学校とか補習授業校への教員の派遣制度の概要について～～,海外の日本人学校とか補修事業校への教員の派遣制度の概要について～～,「補習」と「補修」、「授業」と「事業」は混同しやすい。,教育分野の会議。専門用語が多く、速記者が慣れていない場合に誤記が発生しやすい。,True,coffee_break_parts_similar200502,N/A,不明,速記者,日本語,"['教育', '国際']",['文字起こし']
coffee_break_parts_similar200502_004,現場の教員からは、クラスを借りて実践教育のようなことをして紀要にまとめ、その成果の発表会を～～,現場の教員からは、クラスを借りて実践教育のようなことをして器用にまとめ、その成果の発表会を～～,「紀要」と「器用」は音が似ているので注意。,教育現場での発表内容。専門用語（紀要）と一般語（器用）の混同。,True,coffee_break_parts_similar200502,N/A,不明,速記者,日本語,['教育'],['文字起こし']
coffee_break_parts_similar200502_005,小学校の場合、校務分掌の中に設置して活動が広がっているのが、環境教育と情報化教育です。それが地教委を通して各学校で一つの分掌として正式に与えられている～～,小学校の場合、交付文書の中に設置して活動が広がっているのが、環境教育と情報化教育です。それが地教委を通して各学校で一つの文章として正式に与えられている～～,「校務分掌」と「交付文書」、「分掌」と「文章」は発音が近い。,教育行政の説明。専門用語の連続で、速記者が混同しやすい。,True,coffee_break_parts_similar200502,N/A,不明,速記者,日本語,"['教育', '行政']",['文字起こし']
coffee_break_parts_similar200502_006,活力に満ちた地域社会実現のため、民意の尊重とコミュニティーの育成など、今後～～,活力に満ちた地域社会実現のため、民意の尊重とコミュニティーの行く末など、今後～～,「育成」と「行く末」は語感が似ている。,地域社会や行政の会議。抽象的な表現が多く、文脈で判断しにくい。,True,coffee_break_parts_similar200502,N/A,不明,速記者,日本語,"['行政', '地域']",['文字起こし']
coffee_break_parts_similar200502_007,そういう国際人をより多く輩出するためには～～,そういう国際人をより多く排出するためには～～,「輩出」と「排出」は同音異義語で注意が必要。,国際人材育成に関する発言。意味が大きく変わるため、注意が必要。,True,coffee_break_parts_similar200502,N/A,不明,速記者,日本語,"['教育', '国際']",['文字起こし']
coffee_break_parts_similar200502_008,午前中に行われた日中韓の首脳会議については～～,午前中に行われた日中間の首脳会議については～～,「日中韓」と「日中間」は発音が似ている。,国際会議に関する報告。国名や会議名の聞き間違いは誤解を招くため注意。,True,coffee_break_parts_similar200502,N/A,不明,速記者,日本語,"['国際', '政治']",['文字起こし']
coffee_break_parts_similar200502_009,予算委員会の集中審議は各当該委員会で行いたい。,予算委員会の集中審議は各党外委員会で行いたい。,「当該」と「党外」は音が似ている。,政治・行政分野の会議。委員会名の聞き間違いは議事録の正確性に影響。,True,coffee_break_parts_similar200502,N/A,不明,速記者,日本語,"['行政', '政治']",['文字起こし']
coffee_break_parts_similar200502_010,その余勢を駆って～～,その余勢を勝って～～,「駆って」と「勝って」は発音が近い。,会議や討論の中での表現。慣用句の聞き間違い。,True,coffee_break_parts_similar200502,N/A,不明,速記者,日本語,"['ビジネス', '行政']",['文字起こし']
